transactionType,transactionId,cardNumber,amount,Stan,currencyCode,transactionDate,transactionTime,responseCode,accountType,authorizationCode,merchantId,merchantCategoryCode,terminalId,cardExpiryDate,cardholderName,accountHolderName,transactionFee,authorizationIndicator,acquirerBin,issuerBin,merchantName,transactionCode,reasonCode,rrn,originalTransactionId,acquirerReferenceNumber,batchNumber,dateOfSettlement,settlementAmount,issuerResponseCode,transactionOrigin,transactionReference,originalTransactionAmount,refundAmount,adjustmentAmount,loyaltyPointsEarned,loyaltyPointsRedeemed,reversalIndicator,authorizationDateTime,originalAuthorizationCode,narrative
PURCHASE,TXN1743325846681023837,4234567812345670,0,274335,356,3/23/2025,10:00:00,0,Savings,AUTH6784,MERCHANT56,5411,TERM5,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,GlobalRetail,SALE,0,20250893418,nan,123ABC,BATCH001,3/24/2025,4049.2,0,Online,REF1181,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325860832034784,4532756278912349,0,676995,356,3/23/2025,10:00:00,0,Savings,AUTH8240,MERCHANT60,5411,TERM1,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,GlobalRetail,SALE,0,20250894366,nan,123ABC,BATCH001,3/24/2025,4813.37,0,Online,REF5609,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325875538042192,4532756278912349,0,8127,356,3/23/2025,10:00:00,0,Savings,AUTH2669,MERCHANT33,5411,TERM6,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250891776,nan,123ABC,BATCH001,3/24/2025,4003.08,0,Online,REF8958,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325802002002649,4532756278912347,0,602270,356,3/23/2025,10:00:00,0,Savings,AUTH6588,MERCHANT17,5411,TERM8,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,LocalMarket,SALE,0,20250892649,nan,123ABC,BATCH001,3/24/2025,122.7,0,Online,REF6000,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325798256001283,4532756278912346,0,719840,356,3/23/2025,10:00:00,0,Savings,AUTH3196,MERCHANT74,5411,TERM6,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,GlobalRetail,SALE,0,20250891281,nan,123ABC,BATCH001,3/24/2025,6095.2,0,Online,REF2904,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325802003003189,4024007198765434,0,995120,356,3/23/2025,10:00:00,0,Savings,AUTH2368,MERCHANT51,5411,TERM4,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,SuperMart,SALE,0,20250893185,nan,123ABC,BATCH001,3/24/2025,8649.99,0,Online,REF7933,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325846681024367,4234567812345674,0,360516,356,3/23/2025,10:00:00,0,Savings,AUTH6277,MERCHANT83,5411,TERM6,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250893950,nan,123ABC,BATCH001,3/24/2025,7844.61,0,Online,REF7619,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325838673020242,4234567812345670,0,301428,356,3/23/2025,10:00:00,0,Savings,AUTH7849,MERCHANT57,5411,TERM3,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,QuickStore,SALE,0,20250899821,nan,123ABC,BATCH001,3/24/2025,7072.89,0,Online,REF5878,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325813880011066,4234567812345672,0,38927,356,3/23/2025,10:00:00,0,Savings,AUTH6554,MERCHANT95,5411,TERM5,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,QuickStore,SALE,0,20250890646,nan,123ABC,BATCH001,3/24/2025,9671.21,0,Online,REF8682,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325848081024508,4024007198765433,0,957445,356,3/23/2025,10:00:00,0,Savings,AUTH4097,MERCHANT11,5411,TERM4,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,QuickStore,SALE,0,20250894089,nan,123ABC,BATCH001,3/24/2025,4373.51,0,Online,REF8004,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325809732008209,4024007198765435,0,293851,356,3/23/2025,10:00:00,0,Savings,AUTH2521,MERCHANT98,5411,TERM2,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,GlobalRetail,SALE,0,20250898209,nan,123ABC,BATCH001,3/24/2025,9212.68,0,Online,REF6251,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325860832035382,4532756278912345,0,925552,356,3/23/2025,10:00:00,0,Savings,AUTH8844,MERCHANT24,5411,TERM3,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,GlobalRetail,SALE,0,20250894962,nan,123ABC,BATCH001,3/24/2025,6712.34,0,Online,REF1975,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325803618004030,4024007198765435,0,599048,356,3/23/2025,10:00:00,0,Savings,AUTH8794,MERCHANT44,5411,TERM7,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,GlobalRetail,SALE,0,20250894030,nan,123ABC,BATCH001,3/24/2025,4842.18,0,Online,REF190,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325811111008569,4234567812345670,0,906962,356,3/23/2025,10:00:00,0,Savings,AUTH3363,MERCHANT52,5411,TERM4,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,QuickStore,SALE,0,20250898570,nan,123ABC,BATCH001,3/24/2025,388.19,0,Online,REF2796,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325848081025356,4024007198765435,0,446455,356,3/23/2025,10:00:00,0,Savings,AUTH7689,MERCHANT96,5411,TERM7,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250894937,nan,123ABC,BATCH001,3/24/2025,1482.49,0,Online,REF9496,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325850598026897,4234567812345675,0,878577,356,3/23/2025,10:00:00,0,Savings,AUTH0531,MERCHANT57,5411,TERM5,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,GlobalRetail,SALE,0,20250896481,nan,123ABC,BATCH001,3/24/2025,295.99,0,Online,REF857,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325878534044033,4532756278912347,0,337111,356,3/23/2025,10:00:00,0,Savings,AUTH8056,MERCHANT57,5411,TERM8,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,LocalMarket,SALE,0,20250893615,nan,123ABC,BATCH001,3/24/2025,4818.93,0,Online,REF2382,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
PURCHASE,TXN1743325848081025372,4532756278912345,0,287986,356,3/23/2025,10:00:00,0,Savings,AUTH7341,MERCHANT35,5411,TERM3,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250894950,nan,123ABC,BATCH001,3/24/2025,9582.29,0,Online,REF480,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REFUND,TXN1743325883967048103,4024007198765435,0,437211,356,3/23/2025,10:00:00,0,Savings,AUTH9928,MERCHANT27,5411,TERM8,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,LocalMarket,SALE,0,20250897685,nan,123ABC,BATCH001,3/24/2025,5948.97,0,Online,REF992,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325877234043346,4234567812345671,0,360972,356,3/23/2025,10:00:00,0,Savings,AUTH8490,MERCHANT89,5411,TERM0,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,LocalMarket,SALE,0,20250892928,nan,123ABC,BATCH001,3/24/2025,8501.09,0,Online,REF2410,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325819108013816,4532756278912347,0,912008,356,3/23/2025,10:00:00,0,Savings,AUTH5696,MERCHANT83,5411,TERM5,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,GlobalRetail,SALE,0,20250893396,nan,123ABC,BATCH001,3/24/2025,6660.77,0,Online,REF8650,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325860832034961,4532756278912349,0,953124,356,3/23/2025,10:00:00,0,Savings,AUTH1603,MERCHANT55,5411,TERM4,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,LocalMarket,SALE,0,20250894543,nan,123ABC,BATCH001,3/24/2025,217.94,0,Online,REF2528,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325805115005396,4532756278912349,0,90476,356,3/23/2025,10:00:00,0,Savings,AUTH4873,MERCHANT28,5411,TERM8,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,MegaShop,SALE,0,20250895396,nan,123ABC,BATCH001,3/24/2025,2917.17,0,Online,REF6458,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325803617003683,4532756278912348,0,963994,356,3/23/2025,10:00:00,0,Savings,AUTH8270,MERCHANT79,5411,TERM6,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,GlobalRetail,SALE,0,20250893683,nan,123ABC,BATCH001,3/24/2025,2252.04,0,Online,REF1678,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325820761015243,4234567812345671,0,200398,356,3/23/2025,10:00:00,0,Savings,AUTH8581,MERCHANT2,5411,TERM9,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,MegaShop,SALE,0,20250894820,nan,123ABC,BATCH001,3/24/2025,1850.45,0,Online,REF996,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325858311033443,4024007198765433,0,480103,356,3/23/2025,10:00:00,0,Savings,AUTH8712,MERCHANT69,5411,TERM0,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,LocalMarket,SALE,0,20250893023,nan,123ABC,BATCH001,3/24/2025,1102.74,0,Online,REF8011,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REFUND,TXN1743325811111009186,4234567812345670,0,964953,356,3/23/2025,10:00:00,0,Savings,AUTH7780,MERCHANT68,5411,TERM0,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,MegaShop,SALE,0,20250899186,nan,123ABC,BATCH001,3/24/2025,5326.7,0,Online,REF8537,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
BALANCE_TRANSFER,TXN1743325850598027242,4024007198765436,0,981290,356,3/23/2025,10:00:00,0,Savings,AUTH6986,MERCHANT57,5411,TERM1,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,MegaShop,SALE,0,20250896823,nan,123ABC,BATCH001,3/24/2025,7909.2,0,Online,REF2621,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REFUND,TXN1743325850598027212,4532756278912346,0,23243,356,3/23/2025,10:00:00,0,Savings,AUTH5760,MERCHANT80,5411,TERM1,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,GlobalRetail,SALE,0,20250896793,nan,123ABC,BATCH001,3/24/2025,3952.3,0,Online,REF724,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325869034039540,4024007198765436,0,753276,356,3/23/2025,10:00:00,0,Savings,AUTH6422,MERCHANT67,5411,TERM7,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,MegaShop,SALE,0,20250899120,nan,123ABC,BATCH001,3/24/2025,7730.4,0,Online,REF4555,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325854387030199,4024007198765435,0,859576,356,3/23/2025,10:00:00,0,Savings,AUTH1114,MERCHANT27,5411,TERM0,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,LocalMarket,SALE,0,20250899780,nan,123ABC,BATCH001,3/24/2025,3772.26,0,Online,REF1543,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
PURCHASE,TXN1743325809732008391,4532756278912347,0,484730,356,3/23/2025,10:00:00,0,Savings,AUTH9323,MERCHANT18,5411,TERM2,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,GlobalRetail,SALE,0,20250898391,nan,123ABC,BATCH001,3/24/2025,8772.64,0,Online,REF4494,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325808255006725,4024007198765433,0,508379,356,3/23/2025,10:00:00,0,Savings,AUTH4208,MERCHANT25,5411,TERM3,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,SuperMart,SALE,0,20250896724,nan,123ABC,BATCH001,3/24/2025,2958.97,0,Online,REF9908,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CASH_ADVANCE,TXN1743325838673020150,4024007198765435,0,293579,356,3/23/2025,10:00:00,0,Savings,AUTH9080,MERCHANT19,5411,TERM6,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,SuperMart,SALE,0,20250899731,nan,123ABC,BATCH001,3/24/2025,2759.57,0,Online,REF6274,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325879960045395,4234567812345670,0,309465,356,3/23/2025,10:00:00,0,Savings,AUTH1776,MERCHANT37,5411,TERM2,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,SuperMart,SALE,0,20250894978,nan,123ABC,BATCH001,3/24/2025,715.12,0,Online,REF5946,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325819109014427,4234567812345670,0,951737,356,3/23/2025,10:00:00,0,Savings,AUTH5398,MERCHANT60,5411,TERM0,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,LocalMarket,SALE,0,20250894006,nan,123ABC,BATCH001,3/24/2025,1124.8,0,Online,REF1852,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CAPTURE,TXN1743325846681023635,4024007198765436,0,845040,356,3/23/2025,10:00:00,0,Savings,AUTH6274,MERCHANT37,5411,TERM8,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,MegaShop,SALE,0,20250893214,nan,123ABC,BATCH001,3/24/2025,7347.11,0,Online,REF8005,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325850598027077,4532756278912347,0,823321,356,3/23/2025,10:00:00,0,Savings,AUTH4706,MERCHANT15,5411,TERM0,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,MegaShop,SALE,0,20250896658,nan,123ABC,BATCH001,3/24/2025,8277.78,0,Online,REF8254,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325855587030687,4024007198765434,0,901962,356,3/23/2025,10:00:00,0,Savings,AUTH5772,MERCHANT25,5411,TERM9,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,MegaShop,SALE,0,20250890269,nan,123ABC,BATCH001,3/24/2025,4598.56,0,Online,REF2369,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
CHARGEBACK,TXN1743325886834049826,4532756278912345,0,3939,356,3/23/2025,10:00:00,0,Savings,AUTH7646,MERCHANT93,5411,TERM0,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,GlobalRetail,SALE,0,20250899408,nan,123ABC,BATCH001,3/24/2025,8462.14,0,Online,REF7342,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325882614046620,4234567812345671,0,540357,356,3/23/2025,10:00:00,0,Savings,AUTH7080,MERCHANT81,5411,TERM3,25-Dec,Rajesh Verma,Rajesh Verma,2.5,A,123456,654321,MegaShop,SALE,0,20250896202,nan,123ABC,BATCH001,3/24/2025,2019.71,0,Online,REF2451,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
REVERSAL,TXN1743325841481021314,4532756278912348,0,576404,356,3/23/2025,10:00:00,0,Savings,AUTH4515,MERCHANT2,5411,TERM2,25-Dec,Ravi Kumar,Ravi Kumar,2.5,A,123456,654321,MegaShop,SALE,0,20250890895,nan,123ABC,BATCH001,3/24/2025,5982.64,0,Online,REF8349,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
BALANCE_TRANSFER,TXN1743325850598027348,4532756278912348,0,60818,356,3/23/2025,10:00:00,0,Savings,AUTH0891,MERCHANT73,5411,TERM3,25-Dec,Priya Sharma,Priya Sharma,2.5,A,123456,654321,MegaShop,SALE,0,20250896930,nan,123ABC,BATCH001,3/24/2025,7358.98,0,Online,REF3316,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
BALANCE_TRANSFER,TXN1743325856971031605,4024007198765435,0,715422,356,3/23/2025,10:00:00,0,Savings,AUTH7821,MERCHANT93,5411,TERM9,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,QuickStore,SALE,0,20250891185,nan,123ABC,BATCH001,3/24/2025,7503.39,0,Online,REF9894,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
AUTHORIZATION,TXN1743325811111008637,4024007198765434,0,278646,356,3/23/2025,10:00:00,0,Savings,AUTH9529,MERCHANT42,5411,TERM7,25-Dec,Neha Singh,Neha Singh,2.5,A,123456,654321,QuickStore,SALE,0,20250898637,nan,123ABC,BATCH001,3/24/2025,6294.45,0,Online,REF6707,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
PURCHASE,TXN1743325867433038596,4532756278912347,0,30714,356,3/23/2025,10:00:00,0,Savings,AUTH8034,MERCHANT93,5411,TERM9,25-Dec,Amit Patel,Amit Patel,2.5,A,123456,654321,MegaShop,SALE,0,20250898177,nan,123ABC,BATCH001,3/24/2025,639.37,0,Online,REF3270,0,0,0,10,5,N,2025-03-23T10:00:00,nan,Transaction successful
